"feature","K_XYL_F_0001_01","K_XYL_F_0001_02","K_XYL_F_0002_01","K_XYL_F_0002_02","K_XYL_F_0003_01","K_XYL_F_0003_02","K_XYL_F_0004_01","K_XYL_F_0004_02","K_XYL_F_0005_01","K_XYL_F_0005_02","K_XYL_F_0007_01","K_XYL_F_0007_02","K_XYL_F_0008_01","K_XYL_F_0008_02","K_XYL_F_0009_01","K_XYL_F_0009_02","K_XYL_F_0011_01","K_XYL_F_0011_02","K_XYL_F_0012_01","K_XYL_F_0012_02","K_XYL_F_0013_01","K_XYL_F_0013_02","K_XYL_F_0017_01","K_XYL_F_0017_02","K_XYL_F_0018_01","K_XYL_F_0018_02","K_XYL_F_0022_01","K_XYL_F_0022_02","K_XYL_F_0028_01","K_XYL_F_0028_02","K_XYL_F_0030_02","K_XYL_F_0030_03","K_XYL_F_0033_01","K_XYL_F_0033_02","K_XYL_F_0035_01","K_XYL_F_0035_02","K_XYL_F_0036_01","K_XYL_F_0036_02","K_XYL_F_0037_01","K_XYL_F_0037_02","K_XYL_F_0038_01","K_XYL_F_0038_02","K_XYL_F_0039_01","K_XYL_F_0039_02","K_XYL_F_0042_01","K_XYL_F_0042_02","K_XYL_F_0043_01","K_XYL_F_0043_02","K_XYL_F_0044_01","K_XYL_F_0044_02","K_XYL_F_0045_01","K_XYL_F_0045_02","K_XYL_F_0046_01","K_XYL_F_0046_02","K_XYL_F_0047_01","K_XYL_F_0047_02","K_XYL_F_0048_01","K_XYL_F_0048_02"
"k__Bacteria;__;__;__;__;__;__",0,3,4,0,2,15,0,0,0,8,0,0,2,5,0,3,0,0,0,11,0,5,8,0,6,0,0,4,0,0,0,12,0,5,0,0,2,0,0,0,0,0,0,8,0,7,0,14,0,7,14,3,23,0,0,3,9,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__gnavus",308,0,109,124,202,321,145,628,36,309,238,428,114,0,0,0,37,0,0,55,31,138,282,180,0,225,202,101,2492,135,291,104,0,0,108,37,383,222,127,89,1263,118,76,0,0,0,25,97,0,0,55,233,0,339,189,177,221,700
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__",423,116,67,0,5,0,13,169,47,34,37,128,0,34,0,78,198,381,34,0,0,404,1,98,22,49,818,2,571,0,0,95,556,230,0,0,492,0,38,262,25,222,160,225,368,216,246,207,337,141,34,83,95,0,141,134,61,80
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__",0,0,1,0,0,0,4,6,0,0,0,0,30,7,249,150,0,0,135,193,0,14,74,78,13,0,4,18,0,0,158,8,0,6,98,8,21,0,0,2,0,0,5,0,103,0,48,0,0,19,133,0,33,0,0,26,1,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis",24,0,0,0,0,0,0,0,142,187,0,0,28,33,8,137,86,120,42,152,0,0,162,161,0,0,0,0,0,18,21,736,180,0,183,41,169,53,0,0,0,151,0,0,119,16,0,0,414,30,34,116,21,72,0,240,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,5,0,0,0,0,17,0,8,4,0,8,0,0,0,8,0,11,26,4,74,0,0,0,4,5,4,0,9,27,39,1,0,0,10,0,0,16,9,10,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;__;__",0,0,0,0,13,0,0,13,0,0,0,0,2,6,0,6,0,0,0,11,0,6,0,0,0,0,0,0,0,1,0,0,0,7,10,0,0,0,4,9,0,13,0,3,6,0,0,43,0,14,25,721,7,677,0,0,3,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium;s__",0,0,10,15,0,0,0,0,0,30,0,0,58,104,0,0,0,0,0,3,0,0,0,0,0,0,43,142,0,0,0,0,178,91,297,221,111,1007,14,0,0,131,0,0,0,3,0,0,236,147,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger;s__formicilis",0,0,0,0,0,0,0,0,0,0,185,0,79,272,86,244,110,0,222,138,0,0,34,0,0,0,0,0,0,0,0,0,83,32,122,181,170,0,0,29,0,126,0,0,48,112,0,0,0,105,340,147,245,0,205,315,0,94
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;__;__",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,10,0,0,89,22,0,0,0,0,0,133,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium;s__",0,0,0,0,0,0,0,0,0,0,0,0,163,310,0,0,0,0,0,0,0,0,0,13,0,0,29,210,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,10,0,0
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__",0,0,0,0,2,0,198,114,0,76,286,2122,12,203,8,123,148,735,124,77,0,148,44,39,31,0,0,2,0,0,0,0,373,77,739,189,394,832,0,27,0,0,0,0,190,423,290,222,487,221,118,17,84,0,0,39,0,99
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium;s__spiroforme",22,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,135,0,222,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,127,132,0,0,51,45,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,53,0,57,0,0,27,0,0,0,0,0,165,84,78,23,0,0,6,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__;__;__",13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,6,0,0,0,0,0,2
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__;__",1414,4333,12099,4139,293,8853,4880,9882,292,268,2600,480,1519,3133,147,937,226,293,58,200,92,459,1959,3857,433,337,446,311,398,450,306,274,261,192,51,247,795,0,258,115,2349,734,527,6569,356,250,426,82,341,244,1118,814,1034,1121,306,333,334,212
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__",345,58,30,50,0,0,0,309,0,307,16,187,0,2,0,86,120,439,30,30,0,278,9,132,139,0,99,93,74,0,0,406,270,170,61,0,180,0,108,267,47,64,284,0,174,41,114,105,0,74,0,84,0,118,70,44,33,256
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa",72,0,52,0,0,0,0,0,107,78,0,95,0,0,0,18,31,262,0,0,0,0,19,25,44,0,141,0,194,0,22,182,122,32,26,0,65,0,32,42,22,0,210,0,88,9,84,19,0,0,26,15,0,17,0,40,38,14
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__",0,14550,542,7578,35,1068,104,3455,221,5406,82,412,0,0,360,1177,66,108,443,83,0,556,1782,393,2115,502,379,106,153,293,149,137,3048,5215,78,164,381,2453,99,133,4666,10847,130,561,141,589,4612,9406,4826,5713,95,5368,0,5894,146,0,336,16
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__",0,0,59,0,261,84,0,0,222,116,214,163,101,25,127,176,310,312,264,227,0,0,0,0,0,4,0,89,0,0,0,0,136,210,285,230,47,212,185,269,0,116,14,0,220,91,89,38,0,197,171,0,165,0,45,17,22,132
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__",0,0,0,0,34,0,21,0,20,28,34,53,17,14,30,92,0,3,430,359,28,6,62,41,19,0,0,148,18,77,15,0,14,18,71,150,39,0,12,32,34,81,32,0,114,0,138,39,0,102,143,19,69,32,36,51,31,140
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__",144,0,0,21,0,35,176,90,125,54,391,464,171,0,182,228,256,204,157,248,207,229,204,484,0,125,0,78,0,0,0,0,0,225,334,395,68,218,251,159,99,227,305,27,178,78,259,38,129,103,68,64,62,69,118,360,199,366
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__;__",0,0,4,0,0,0,0,0,189,3,0,0,33,213,49,408,76,60,137,214,0,55,0,0,69,132,0,108,0,12,77,9,15,80,0,253,189,0,0,17,0,115,29,0,87,21,235,113,2,22,319,33,327,8,0,8,0,140
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__",21,0,28,22,0,24,0,0,0,0,0,0,0,23,0,30,0,23,115,33,0,33,0,0,20,0,0,0,0,0,0,0,9,0,84,0,105,0,0,23,0,0,0,0,17,0,250,128,0,29,181,0,78,0,148,317,43,123
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__",0,0,38,18,166,98,0,7,66,35,272,0,46,32,312,361,66,0,430,247,12,7,40,0,37,64,0,104,34,0,214,21,35,91,84,306,60,0,0,0,14,91,26,0,368,0,276,0,203,27,182,0,30,19,0,26,33,49
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister;s__",0,0,139,0,0,0,0,3,9,17,168,0,122,22,461,707,87,3,1405,356,9,8,0,77,12,15,14,104,0,0,0,0,27,39,191,56,177,0,94,103,0,172,135,149,306,71,177,31,0,4,354,5,409,0,1950,1166,5,123
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella;s__lenta",0,0,0,0,85,0,0,0,0,0,0,32,0,0,0,0,0,21,0,0,0,0,17,11,0,10,0,36,12,45,0,0,0,0,124,70,160,0,0,28,0,0,43,0,28,0,37,18,0,0,0,4,0,10,0,0,0,64
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,134,0,0,10,16,0,0,0,95,154,118,0,68,0,25,0,0,0,216,91,0,0,0,0,0,0,51,245,0,351,57,0,2627,78
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes;s__",0,0,22,0,0,0,0,0,0,0,77,133,0,79,0,95,57,0,127,13,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,22,0,0,0,0,0,12,0,0,96,0,0,20,0,0,50,0,45,0,0,0,25,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__",114,189,8,287,176,198,0,11,9,18,0,0,3,46,0,63,42,47,0,34,0,380,96,33,192,11,116,16,37,29,17,77,208,120,154,0,158,0,91,17,99,27,3557,271,113,101,119,142,11,108,71,0,0,97,0,82,57,1
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__helveticus",0,31,0,38,23,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,37,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1157,92,1342,86,18,4952,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__",43,0,0,0,0,0,0,71,51,70,0,0,0,0,38,0,26,158,0,0,0,61,0,69,336,0,74,26,68,0,0,132,0,52,0,0,177,0,54,60,0,17,74,0,0,0,0,0,0,21,0,5,0,27,38,35,51,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__;__",0,13,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,24,14,0,0,0,0,0,0,0,0,12,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__",30,67,98,54,47,0,35,0,0,70,0,0,37,0,0,45,0,0,0,0,218,41,0,0,137,69,80,21,0,56,66,9411,25,0,61,0,32,0,0,52,83,0,296,79,138,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,54,0,0,0,0,275,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,58,40,0,0,0,10,78,9,0,0,0,20,0,26,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__moorei",0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,15,3,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri",0,0,29,0,3,0,0,37,0,51,0,0,1146,1058,571,47,0,0,0,0,0,0,74,0,0,0,110,15,35,37,0,63,0,19,0,28,92,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia;s__muciniphila",107,0,0,0,86,0,23,0,41,0,104,0,73,0,11,35,43,0,0,66,22,69,26,142,49,66,0,94,0,0,113,0,0,65,52,77,402,0,26,60,0,71,62,0,125,0,78,0,0,0,0,0,10,0,102,48,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus",358,0,0,0,0,0,0,0,137,0,436,0,9,0,174,152,0,0,0,0,0,40,137,0,0,594,0,31,0,0,342,178,210,0,280,207,0,0,0,0,200,243,0,0,0,0,0,0,246,123,51,43,11,92,279,122,259,248
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,201,5,0,0,2,0,0,0,0,0,0,0,0,0,0,44,0,59,0,0,0,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__",0,0,4,0,25,0,0,0,0,4,0,0,5,0,0,6,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,92,2,0,0,0,0,0,0,191,70,64,5,0,0,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis",36,0,104,0,0,0,0,0,165,0,30,24,24,0,0,7,0,0,0,0,0,0,21,0,0,84,0,0,0,0,83,117,150,0,114,0,15,0,0,0,19,69,11,0,78,0,0,0,0,0,4,18,0,15,170,41,36,0
"k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__;s__",0,0,0,0,0,0,0,8,0,74,4,0,0,0,0,7,0,111,0,0,0,15,0,49,0,0,0,0,0,0,0,7,0,25,0,0,45,0,0,22,0,0,0,0,0,0,0,19,0,0,0,0,0,0,6,0,16,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;__",0,12,0,0,4,0,0,2,0,35,0,0,0,0,0,0,0,0,4,67,0,29,7,2,4,0,0,64,0,0,16,15,7,9,8,6,18,0,29,3,0,0,0,0,0,11,0,3,0,0,14,4,5,0,0,0,9,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__longicatena",0,0,0,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,31,0,0,0,0,0,19,0,0,0,0,91,0,135,0,31,97,91,87,0,0,0,0,0,0,170,52,0,101,5,0,0,0,0,37,12,91
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__",0,0,199,0,214,0,142,0,0,0,210,0,501,112,0,90,187,88,42,0,0,0,62,0,0,0,0,28,0,0,0,0,142,106,16,76,0,0,42,48,0,141,0,29,0,0,99,17,0,0,127,0,114,0,49,0,53,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;__",0,0,7,0,0,0,0,0,0,0,0,0,3,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,8,0,0,0,0,3,0,3,4,0,0,2,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__",0,0,0,0,0,0,224,0,0,58,0,0,0,0,0,0,170,0,142,75,0,48,0,18,0,0,0,0,0,0,0,0,96,117,166,0,79,315,282,194,0,0,0,0,98,183,204,0,80,120,0,156,0,220,106,101,101,161
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__",0,0,66,0,0,0,228,116,82,0,156,0,372,19,221,48,352,136,0,31,39,0,0,118,0,78,0,220,0,0,220,0,0,0,300,539,223,0,0,0,0,146,2,0,0,11,127,0,99,90,245,0,258,26,376,428,210,15
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;__",0,0,71,0,58,50,217,0,0,0,193,418,118,183,286,550,439,375,628,232,3815,0,176,0,0,31,0,159,0,0,0,0,0,122,351,1855,148,0,74,0,151,190,132,0,0,83,112,171,0,66,175,71,192,125,578,714,288,653
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum",0,123,81,62,54,113,0,106,67,120,0,0,11,0,138,58,109,121,157,126,102,0,42,37,1542,32,83,360,196,116,382,232,142,156,203,89,125,0,323,178,126,87,57,0,645,568,119,186,169,69,52,1985,23,1916,68,0,315,103
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis",0,0,0,0,46,329,0,0,0,39,0,0,109,277,241,289,65,438,244,6853,67,5116,173,32,455,68,0,5506,0,0,0,8,1426,2050,0,0,99,0,5588,6210,20,0,102,0,2892,3620,0,15,0,0,2226,102,2314,33,228,0,1594,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__animalis",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,21,0,0,0,0,23,0,0,4,0,12,0,5,0,0,0,41,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__",166,0,73,0,215,0,0,0,0,0,0,0,2,0,0,0,81,0,156,116,0,0,0,0,0,77,2777,51,0,0,0,43,0,0,73,76,60,0,0,99,0,141,0,0,0,0,125,0,0,0,0,0,10,0,58,356,0,74
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__",81,0,0,0,0,0,275,150,144,190,201,0,0,91,132,110,0,0,127,59,184,41,155,98,0,0,215,108,0,76,134,0,64,0,363,93,4,0,0,83,0,192,139,0,44,28,161,10,234,0,159,0,88,0,0,0,0,84
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__C21_c20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21,0,0,0,0,0,0,21,0,0,0,12,0,78,0,29,16,0,34,46,0,0,0,8,8,0,0,48,0,0,0,0,0,16,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,121,29,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,14,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae",0,14,188,0,0,12,51,0,0,0,0,0,0,0,0,0,140,336,0,0,0,244,170,124,0,9,174,0,0,179,40,0,49,176,0,12,952,49,21,33,24,19,0,0,5,0,0,0,0,35,0,0,0,0,0,102,13,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__viridiflava",0,0,0,0,0,26,0,83,0,92,0,0,0,12,0,74,0,30,0,91,0,97,132,73,62,73,124,119,32,63,58,126,0,54,78,33,0,0,145,111,120,49,69,0,22,0,0,0,60,0,50,0,0,0,82,0,109,0
