feature,J_XYL_F_0001_01,J_XYL_F_0001_02,J_XYL_F_0002_01,J_XYL_F_0002_02,J_XYL_F_0003_01,J_XYL_F_0003_02,J_XYL_F_0004_01,J_XYL_F_0004_02,J_XYL_F_0005_01,J_XYL_F_0005_02,J_XYL_F_0006_01,J_XYL_F_0006_02,J_XYL_F_0010_01,J_XYL_F_0010_02,J_XYL_F_0012_01,J_XYL_F_0012_02,J_XYL_F_0013_01,J_XYL_F_0013_02,J_XYL_F_0015_01,J_XYL_F_0015_02,J_XYL_F_0016_01,J_XYL_F_0016_02,J_XYL_F_0018_01,J_XYL_F_0018_02,J_XYL_F_0020_01,J_XYL_F_0020_02,J_XYL_F_0025_01,J_XYL_F_0025_02,J_XYL_F_0031_01,J_XYL_F_0031_02,J_XYL_F_0032_01,J_XYL_F_0032_02,J_XYL_F_0034_01,J_XYL_F_0034_02,J_XYL_F_0036_01,J_XYL_F_0036_02,J_XYL_F_0043_01,J_XYL_F_0043_2,J_XYL_F_0044_01,J_XYL_F_0044_02,J_XYL_F_0045_01,J_XYL_F_0045_2,J_XYL_F_0046_01,J_XYL_F_0046_02,J_XYL_F_0047_01,J_XYL_F_0047_02,J_XYL_F_0048_01,J_XYL_F_0049_02,J_XYL_F_0050_01,J_XYL_F_0050_02,J_XYL_F_0051_01,J_XYL_F_0051_02,J_XYL_F_0053_01,J_XYL_F_0053_02,J_XYL_F_0057_01,J_XYL_F_0057_02,J_XYL_F_0058_01,J_XYL_F_0058_02,J_XYL_F_0059_01,J_XYL_F_0059_02,J_XYL_F_0060_01,J_XYL_F_0060_02,J_XYL_F_0061_01,J_XYL_F_0061_02,J_XYL_F_0062_01,J_XYL_F_0062_02,J_XYL_F_0064_01,J_XYL_F_0064_02,J_XYL_F_0065_01,J_XYL_F_0065_02,J_XYL_F_0066_01,J_XYL_F_0066_02,K_XYL_F_0001_01,K_XYL_F_0001_02,K_XYL_F_0002_01,K_XYL_F_0002_02,K_XYL_F_0003_01,K_XYL_F_0003_02,K_XYL_F_0004_01,K_XYL_F_0004_02,K_XYL_F_0005_01,K_XYL_F_0005_02,K_XYL_F_0007_01,K_XYL_F_0007_02,K_XYL_F_0008_01,K_XYL_F_0008_02,K_XYL_F_0009_01,K_XYL_F_0009_02,K_XYL_F_0009_03,K_XYL_F_0011_01,K_XYL_F_0011_02,K_XYL_F_0012_01,K_XYL_F_0012_02,K_XYL_F_0013_01,K_XYL_F_0013_02,K_XYL_F_0017_01,K_XYL_F_0017_02,K_XYL_F_0018_01,K_XYL_F_0018_02,K_XYL_F_0022_01,K_XYL_F_0022_02,K_XYL_F_0028_01,K_XYL_F_0028_02,K_XYL_F_0030_02,K_XYL_F_0030_03,K_XYL_F_0033_01,K_XYL_F_0033_02,K_XYL_F_0035_01,K_XYL_F_0035_02,K_XYL_F_0035_03,K_XYL_F_0036_01,K_XYL_F_0036_02,K_XYL_F_0037_01,K_XYL_F_0037_02,K_XYL_F_0038_01,K_XYL_F_0038_02,K_XYL_F_0039_01,K_XYL_F_0039_02,K_XYL_F_0042_01,K_XYL_F_0042_02,K_XYL_F_0043_01,K_XYL_F_0043_02,K_XYL_F_0044_01,K_XYL_F_0044_02,K_XYL_F_0045_01,K_XYL_F_0045_02,K_XYL_F_0046_01,K_XYL_F_0046_02,K_XYL_F_0047_01,K_XYL_F_0047_02,K_XYL_F_0048_01,K_XYL_F_0048_02
k__Bacteria;__;__;__;__;__;__,5,0,0,0,0,11,6,3,3,0,0,0,8,3,0,0,7,0,0,5,0,0,0,0,15,0,0,7,6,5,3,0,0,0,0,8,0,0,0,0,0,6,13,0,3,0,2,0,0,0,8,0,3,4,0,10,0,10,0,0,0,6,0,0,4,0,2,0,276,17,0,3,0,3,4,0,2,15,0,0,0,8,0,0,2,5,0,3,18,0,0,0,11,0,5,8,0,6,0,0,4,0,0,0,12,0,5,0,0,0,2,0,0,0,0,0,0,8,0,7,0,14,0,7,14,3,23,0,0,3,9,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__gnavus,144,197,0,118,0,0,0,49,0,0,0,0,111,0,712,68,77,0,79,140,223,484,55,0,0,0,0,107,305,145,599,158,0,62,0,0,341,0,724,109,103,65,39,112,125,125,64,207,732,287,802,0,63,0,396,127,1067,135,0,0,1159,262,552,691,138,0,77,0,0,0,560,204,308,0,109,124,202,321,145,628,36,309,238,428,114,0,0,0,0,37,0,0,55,31,138,282,180,0,225,202,101,2492,135,291,104,0,0,108,37,972,383,222,127,89,1263,118,76,0,0,0,25,97,0,0,55,233,0,339,189,177,221,700
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,0,254,208,145,0,237,159,68,0,0,0,25,138,135,220,50,132,7,176,103,116,99,0,6,168,635,0,95,55,118,180,153,362,378,55,392,14,11,0,126,22,0,254,157,584,30,331,0,603,0,1476,431,91,31,0,0,66,146,690,233,0,457,222,812,609,209,244,65,0,0,987,0,423,116,67,0,5,0,13,169,47,34,37,128,0,34,0,78,0,198,381,34,0,0,404,1,98,22,49,818,2,571,0,0,95,556,230,0,0,92,492,0,38,262,25,222,160,225,368,216,246,207,337,141,34,83,95,0,141,134,61,80
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,0,46,164,448,0,41,0,76,61,0,42,20,130,523,0,6,90,21,0,4,4,50,434,0,483,0,0,0,21,76,110,77,61,83,2,17,74,0,0,0,27,34,131,62,91,0,0,0,36,0,4,0,0,44,0,28,8,0,0,1,40,8,15,0,87,0,11,92,466,181,0,54,0,0,1,0,0,0,4,6,0,0,0,0,30,7,249,150,110,0,0,135,193,0,14,74,78,13,0,4,18,0,0,158,8,0,6,98,8,30,21,0,0,2,0,0,5,0,103,0,48,0,0,19,133,0,33,0,0,26,1,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis,17,0,6,97,88,21,13,229,98,212,0,0,104,156,116,56,59,14,23,46,66,0,0,52,35,0,0,0,0,0,63,99,0,0,112,0,53,0,58,0,0,118,161,244,75,31,0,152,0,0,27,57,242,276,0,0,154,67,0,48,0,73,111,10,144,27,0,0,0,186,0,0,24,0,0,0,0,0,0,0,142,187,0,0,28,33,8,137,217,86,120,42,152,0,0,162,161,0,0,0,0,0,18,21,736,180,0,183,41,32,169,53,0,0,0,151,0,0,119,16,0,0,414,30,34,116,21,72,0,240,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__;s__,0,26,0,24,0,22,0,26,0,0,8,0,3,3,0,0,28,0,22,34,0,0,6,0,0,0,0,0,0,4,8,0,13,2,0,0,10,0,0,0,0,7,0,8,26,0,0,2,0,0,0,0,0,7,0,0,7,0,25,3,37,0,3,0,23,30,19,0,53,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,5,0,0,0,0,17,0,8,4,0,8,0,0,0,8,0,11,26,4,6,74,0,0,0,4,5,4,0,9,27,39,1,0,0,10,0,0,16,9,10,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;__;__,0,0,0,0,1,6,2,0,0,0,0,0,2,0,10,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,4,0,0,0,9,0,3,0,15,0,0,7,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,2,6,0,6,14,0,0,0,11,0,6,0,0,0,0,0,0,0,1,0,0,0,7,10,0,0,0,0,4,9,0,13,0,3,6,0,0,43,0,14,25,721,7,677,0,0,3,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium;s__,5,144,451,67,0,0,202,87,0,0,126,0,0,52,0,0,146,0,200,115,0,0,47,416,59,45,0,0,82,0,66,121,0,0,64,56,216,87,781,437,170,93,137,106,71,240,0,99,0,0,0,0,0,0,0,0,0,0,127,350,157,365,16,0,8,20,0,7,0,484,0,35,0,0,10,15,0,0,0,0,0,30,0,0,58,104,0,0,0,0,0,0,3,0,0,0,0,0,0,43,142,0,0,0,0,178,91,297,221,16,111,1007,14,0,0,131,0,0,0,3,0,0,236,147,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger;s__formicilis,0,23,92,288,436,195,348,199,157,402,0,0,207,358,0,0,116,0,45,35,84,0,302,0,276,54,110,650,0,0,271,597,213,35,197,216,190,254,0,0,0,0,244,472,144,486,0,404,0,0,0,137,132,79,0,108,0,28,195,429,8,0,0,0,248,131,134,185,45,101,0,0,0,0,0,0,0,0,0,0,0,0,185,0,79,272,86,244,211,110,0,222,138,0,0,34,0,0,0,0,0,0,0,0,0,83,32,122,181,0,170,0,0,29,0,126,0,0,48,112,0,0,0,105,340,147,245,0,205,315,0,94
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;__;__,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,6,112,0,94,0,0,3,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,10,0,0,89,22,0,0,0,0,0,133,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium;s__,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,1169,17,27,0,44,0,0,0,23,0,0,0,0,0,1717,510,0,33,0,1792,0,0,0,0,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,248,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,310,0,0,0,0,0,0,0,0,0,0,13,0,0,29,210,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,10,0,0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__,375,1207,101,189,0,456,198,168,0,275,123,773,167,139,16,125,3,55,0,6,182,11,0,0,42,5,0,218,352,470,41,0,196,276,163,0,214,289,0,0,179,65,0,0,0,0,12,33,0,0,0,0,229,143,0,184,0,204,305,514,0,0,0,8,52,0,252,49,29,144,0,0,0,0,0,0,2,0,198,114,0,76,286,2122,12,203,8,123,185,148,735,124,77,0,148,44,39,31,0,0,2,0,0,0,0,373,77,739,189,10,394,832,0,27,0,0,0,0,190,423,290,222,487,221,118,17,84,0,0,39,0,99
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium;s__spiroforme,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,8,0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,26,22,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,135,0,222,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__;s__,0,0,0,0,0,37,20,29,62,0,100,0,0,18,0,0,0,0,0,0,0,16,97,50,79,0,0,214,0,66,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,39,0,0,0,330,0,16,0,0,0,25,0,170,0,0,0,0,0,0,4,34,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,127,132,0,0,51,45,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,53,0,57,0,0,27,0,0,0,0,0,165,84,78,23,0,0,6,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__;__;__,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,6,0,0,0,0,0,2
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__;__,3140,8363,334,338,217,278,122,637,115,928,187,375,284,413,589,301,891,1791,2672,728,2724,1409,547,157,0,659,497,2295,626,702,490,571,1788,7268,1714,263,641,325,2183,558,8968,14309,431,2461,2941,1290,8645,851,8027,1336,8325,0,631,320,815,686,5791,778,448,1026,1645,414,340,275,527,173,10170,4843,1219,543,2256,1164,1414,4333,12099,4139,293,8853,4880,9882,292,268,2600,480,1519,3133,147,937,70,226,293,58,200,92,459,1959,3857,433,337,446,311,398,450,306,274,261,192,51,247,280,795,0,258,115,2349,734,527,6569,356,250,426,82,341,244,1118,814,1034,1121,306,333,334,212
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__,0,276,0,37,0,97,91,93,0,0,103,49,51,153,37,90,19,28,30,97,32,111,52,0,57,120,33,120,87,0,63,5,0,0,37,69,64,110,0,0,0,0,86,0,141,0,0,3,205,0,51,97,98,0,66,0,246,115,90,44,109,382,81,45,261,6,97,0,48,18,109,45,345,58,30,50,0,0,0,309,0,307,16,187,0,2,0,86,25,120,439,30,30,0,278,9,132,139,0,99,93,74,0,0,406,270,170,61,0,118,180,0,108,267,47,64,284,0,174,41,114,105,0,74,0,84,0,118,70,44,33,256
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa,0,0,27,0,0,59,92,140,0,0,0,39,0,0,0,0,0,0,0,0,13,29,25,0,0,198,21,0,32,0,2,67,114,0,37,135,26,0,0,163,0,0,104,35,46,0,19,0,65,0,0,0,77,15,0,14,124,152,51,93,0,83,0,121,108,16,99,23,0,0,0,0,72,0,52,0,0,0,0,0,107,78,0,95,0,0,0,18,0,31,262,0,0,0,0,19,25,44,0,141,0,194,0,22,182,122,32,26,0,30,65,0,32,42,22,0,210,0,88,9,84,19,0,0,26,15,0,17,0,40,38,14
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__,0,153,193,253,0,232,611,887,0,121,0,0,0,115,395,131,0,78,231,0,348,0,840,0,1072,258,66,149,4031,2420,172,918,1133,278,0,34,2229,0,0,103,109,0,209,0,757,516,144,0,106,0,0,314,1030,482,233,1009,120,48,114,242,764,4507,681,0,219,646,187,0,0,0,118,2395,0,14550,542,7578,35,1068,104,3455,221,5406,82,412,0,0,360,1177,2611,66,108,443,83,0,556,1782,393,2115,502,379,106,153,293,149,137,3048,5215,78,164,0,381,2453,99,133,4666,10847,130,561,141,589,4612,9406,4826,5713,95,5368,0,5894,146,0,336,16
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__,0,245,136,104,181,147,52,62,158,0,0,0,180,105,124,149,0,0,90,11,0,68,25,0,151,32,0,61,204,208,0,108,126,163,60,0,116,0,0,152,0,19,74,0,197,140,0,89,0,0,0,0,0,160,0,59,0,90,174,97,135,244,0,0,25,0,122,163,3,0,0,0,0,0,59,0,261,84,0,0,222,116,214,163,101,25,127,176,80,310,312,264,227,0,0,0,0,0,4,0,89,0,0,0,0,136,210,285,230,169,47,212,185,269,0,116,14,0,220,91,89,38,0,197,171,0,165,0,45,17,22,132
